Tuominen ::: Pipsa P. A.	F	NORDIC
Liu ::: Jiming	M	CHINESE
Riper ::: Heleen	F	DUTCH
‘t Hart ::: Bernard Marius	M	ENGLISH-FRENCH
Dupree ::: Paul	M	ENGLISH
Fukudo ::: Shin	-	JAPANESE
John ::: Kunda	-	INDIAN
Yokoyama ::: Utako	F	JAPANESE
Ishikawa ::: Yoshihiro	M	JAPANESE
Huang ::: Yu-Jie	-	CHINESE
Hsu ::: Shih-Lan	-	CHINESE
Yang ::: Chung-Shi	-	CHINESE
Lott ::: William B.	M	ENGLISH
Rao ::: Atmakuri Ramakrishna	M	INDIAN
Hwang ::: Dae Youn	F	KOREAN
Noguchi ::: Emiko	F	JAPANESE
Mamun ::: Abdullah A.	M	ARAB
Özyurt ::: Jale	F	TURKISH
Chen ::: Jianzhu	-	CHINESE
Hampe ::: Christiane S.	F	GERMAN
Chen ::: Zhenguo	-	CHINESE
Cristescu ::: Melania E.	F	ROMANIAN
Deja ::: Stanislaw	M	SLAV
Mlynarz ::: Piotr	M	SLAV
Xu ::: Yong	-	CHINESE
Froese ::: Tom	M	ENGLISH-FRENCH
Sin ::: Don D.	M	CHINESE
Basu ::: Analabha	-	INDIAN
Ray ::: Kunal	M	INDIAN
Chao ::: Zhi	-	CHINESE
Wu ::: Yingsong	-	CHINESE
Hoogeboom ::: Thomas J.	M	DUTCH-ENGLISH
Luttikholt ::: Saskia	F	DUTCH
Pfortmueller ::: Carmen A.	F	GERMAN-HISPANIC
MacVicar ::: Brian A.	M	ENGLISH
Zhao ::: Youfu	-	CHINESE
Martin ::: Lesley-Ann	F	ENGLISH
Reissland ::: Nadja	F	GERMAN
Loto ::: Roland Tolulope	M	HISPANIC-GERMAN
Zhou ::: Baosen	-	CHINESE
Kirikae ::: Teruo	M	JAPANESE
Renesto ::: Patricia	F	HISPANIC-FRENCH
Legleiter ::: Justin	M	ENGLISH
Goldman ::: Ellen R.	F	ENGLISH
Huang ::: Zachary Y.	M	ENGLISH-CHINESE
Zeng ::: Zhi Jiang	-	CHINESE
Spanier ::: Britta	F	GERMAN
Mongini ::: Franco	M	ITALIAN
Yan ::: Haifei	-	CHINESE
Fujii ::: Keisuke	M	JAPANESE
Scotti ::: Claudia	F	ITALIAN
Müller ::: Christian P.	M	GERMAN
Liao ::: Ming	-	CHINESE
Norström ::: Madelaine	F	NORDIC
Bankson ::: James A.	M	ENGLISH
Li ::: Renqing	-	CHINESE
Smith ::: Brad L.	M	ENGLISH
Edmonds ::: Grant W.	M	ENGLISH
Ohara ::: Yoshiro	M	JAPANESE
Barron ::: Luke	M	ENGLISH
Costa ::: Wilson J. E. M.	M	HISPANIC
Chen ::: Huiping	F	CHINESE
Gopichandran ::: Vijayaprasad	-	INDIAN
Burgstaller ::: Jakob M.	M	GERMAN
Wang ::: Yong	-	CHINESE
Akinyemiju ::: Tomi F.	M	AFRICAN-NORDIC
Schindler ::: Michael	M	GERMAN
Castellano ::: Christian-Alexandre	M	HISPANIC-ITALIAN
Zaganjor ::: Ibrahim	M	UNKNOWN
Grando ::: Sergei A.	M	HISPANIC-SLAV
Thaler ::: Christian	M	GERMAN
Demirci ::: Utkan	M	TURKISH
López-Schier ::: Hernán	M	GERMAN-HISPANIC
Kan ::: Hester J.	F	DUTCH
de Jong ::: Bauke M.	M	DUTCH
Bergwitz ::: Clemens	M	GERMAN
Eranki ::: Avinash	M	NORDIC-INDIAN
Dirks ::: Ulrich	M	GERMAN
Bai ::: Ya-Mei	F	CHINESE
Mosoian ::: Arevik	-	ARAB-NORDIC
Chai ::: Yimin	-	CHINESE
Li ::: Gang	-	CHINESE
Ribeiro ::: Pedro Leite	M	HISPANIC
Graham ::: Barney S.	M	ENGLISH
Lavigne ::: Pierre	M	FRENCH
Šmíd ::: Jiří	-	ARAB
Ariño ::: Joaquín	-	CHINESE
Blount ::: Robert J.	M	ENGLISH
Schmidt ::: Christian A.	M	GERMAN-NORDIC
Vazquez-Levin ::: Mónica Hebe	F	HISPANIC
Hill ::: Eric J.	M	ENGLISH
Egger ::: Matthias	M	GERMAN
Chluba ::: Johanna	F	FRENCH-GERMAN
Abuelezam ::: Nadia N.	F	ARAB
Uchida ::: Daisuke	M	JAPANESE
Ihlow ::: Flora	F	GERMAN-ITALIAN
Qian ::: Yuan	M	CHINESE
Stopka ::: Pavel	M	SLAV
He ::: Xijing	-	CHINESE
Botvinick ::: Elliot L.	M	ENGLISH
Liang ::: Cher-Wei	F	CHINESE
Ohlendorf ::: Daniela	F	GERMAN
Han ::: Bong-Soo	M	KOREAN
Jacobs ::: David R. ::: Jr.	M	ENGLISH
Lynch ::: Shannon M.	-	ENGLISH
Karp-Boss ::: Lee	M	ENGLISH
Blob ::: Richard W.	M	ENGLISH-GERMAN
Nautiyal ::: Chandra Shekhar	M	INDIAN
Chen ::: Lijuan	F	CHINESE
Bhojani ::: Upendra	M	INDIAN
Moulds ::: Michelle L.	F	ENGLISH
Esteban ::: Mariano	M	HISPANIC
